locus tag	pan gene symbol
S1	-
SAOUHSC_00001	dnaA
S2	-
SAOUHSC_00002	dnaN
SAOUHSC_00003	-
SAOUHSC_00004	recF
SAOUHSC_00005	gyrB
SAOUHSC_00006	gyrA
SAOUHSC_00007	nnrD
S3	-
SAOUHSC_00008	hutH
S4	-
S5	-
SAOUHSC_00009	serS
S6	-
SAOUHSC_00010	-
SAOUHSC_00012	-
S7	-
SAOUHSC_00013	metX
S8	-
SAOUHSC_00014	-
SAOUHSC_00015	gdpP
SAOUHSC_00017	rplI
SAOUHSC_00018	dnaC
SAOUHSC_00019	purA
SAOUHSC_T00018	trnaE
SAOUHSC_T00011	trnaD
S9	-
SAOUHSC_00020	walR
SAOUHSC_00021	walK
SAOUHSC_00022	walH
SAOUHSC_00023	walI
S10	-
SAOUHSC_00024	walJ
SAOUHSC_00025	adsA
SAOUHSC_00026	-
S11	-
SAOUHSC_00027	orfX
S12	-
SAOUHSC_00028	-
SAOUHSC_00029	-
S13	-
SAOUHSC_00030	-
S14	-
SAOUHSC_00031	-
SAOUHSC_00032	-
S15	-
SAOUHSC_00033	tauE
SAOUHSC_00034	cstR
SAOUHSC_00035	cstA
SAOUHSC_00036	cstB
SAOUHSC_00037	sqr
S16	-
SAOUHSC_00038	-
S17	-
SAOUHSC_00039	-
S18	-
S19	-
SAOUHSC_00040	-
SAOUHSC_00041	-
SAOUHSC_00042	-
SAOUHSC_00043	-
SAOUHSC_00044	-
S20	-
S21	-
SAOUHSC_00045	-
SAOUHSC_00046	-
SAOUHSC_00047	-
SAOUHSC_00049	-
SAOUHSC_00050	-
SAOUHSC_00051	plc
SAOUHSC_00052	csa1A
SAOUHSC_00053	-
SAOUHSC_00054	-
SAOUHSC_00055	-
S22	-
S23	-
SAOUHSC_00056	-
SAOUHSC_00057	-
SAOUHSC_00058	norC
S24	-
S25	-
SAOUHSC_00060	nptA
SAOUHSC_00061	-
SAOUHSC_00062	-
SAOUHSC_00064	norG
S26	-
SAOUHSC_00065	-
S27	-
S28	-
SAOUHSC_00067	lctP1
S29	-
SAOUHSC_00069	spa
SAOUHSC_00070	sarS
SAOUHSC_00071	sirC
S30	-
SAOUHSC_00072	sirB
SAOUHSC_00074	sirA
S31	-
S32	-
SAOUHSC_00075	sbnA
SAOUHSC_00076	sbnB
SAOUHSC_00077	sbnC
SAOUHSC_00078	sbnD
SAOUHSC_00079	sbnE
SAOUHSC_00080	sbnF
SAOUHSC_00081	sbnG
SAOUHSC_00082	sbnH
SAOUHSC_00083	sbnI
SAOUHSC_A00084	-
S33	-
SAOUHSC_00084	-
SAOUHSC_00085	-
SAOUHSC_00086	butA
SAOUHSC_00087	-
SAOUHSC_00088	galE
SAOUHSC_00089	-
SAOUHSC_00090	-
SAOUHSC_00091	-
SAOUHSC_00092	-
SAOUHSC_00093	sodM
SAOUHSC_00094	sasD
S34	-
SAOUHSC_00096	-
SAOUHSC_A00097	-
SAOUHSC_00097	deoD1
SAOUHSC_00099	tet38
SAOUHSC_00100	deoC1
SAOUHSC_00101	deoB
SAOUHSC_00102	phnE1
SAOUHSC_00103	phnE2
SAOUHSC_00104	phnC
SAOUHSC_00105	phnD
SAOUHSC_00106	-
SAOUHSC_00107	-
SAOUHSC_00108	-
SAOUHSC_00109	-
SAOUHSC_00110	-
SAOUHSC_00111	-
S35	-
SAOUHSC_00112	-
SAOUHSC_00113	adhE
S36	-
S37	-
SAOUHSC_00114	capA
SAOUHSC_00115	capB
SAOUHSC_00116	capC
SAOUHSC_00117	capD
SAOUHSC_00118	capE
SAOUHSC_00119	capF
SAOUHSC_00120	capG
SAOUHSC_00121	capH
SAOUHSC_00122	capI
SAOUHSC_00123	capJ
SAOUHSC_00124	capK
SAOUHSC_00125	capL
SAOUHSC_00126	capM
SAOUHSC_00127	capN
SAOUHSC_00128	capO
S38	-
SAOUHSC_00129	capP
SAOUHSC_00130	isdI
SAOUHSC_00131	-
S39	-
S40	-
SAOUHSC_00132	aldA
S41	-
S42	-
S43	-
SAOUHSC_00133	-
SAOUHSC_00134	-
SAOUHSC_00135	-
S44	-
SAOUHSC_00136	ssuB
SAOUHSC_00137	ssuA
SAOUHSC_00138	ssuC
SAOUHSC_00139	-
S45	-
SAOUHSC_00141	-
S46	-
SAOUHSC_00142	fdh
S47	-
S48	-
SAOUHSC_00143	-
S49	-
SAOUHSC_00144	ausA
SAOUHSC_00145	-
SAOUHSC_00146	-
SAOUHSC_00147	argB
SAOUHSC_00148	argJ
SAOUHSC_00149	argC
SAOUHSC_00150	argD
SAOUHSC_00151	brnQ1
SAOUHSC_00152	-
S50	-
SAOUHSC_00153	-
SAOUHSC_00154	-
SAOUHSC_00155	glcA
S51	-
S52	-
SAOUHSC_00156	mupG
SAOUHSC_00157	murQ
SAOUHSC_00158	murP
SAOUHSC_00160	murR
S53	-
SAOUHSC_00161	-
SAOUHSC_00162	hsdR
SAOUHSC_00163	-
SAOUHSC_00164	-
SAOUHSC_00166	-
S54	-
SAOUHSC_00167	gisA
SAOUHSC_00168	gisB
SAOUHSC_00169	gisC
SAOUHSC_00170	gisD
SAOUHSC_00171	ggt
S55	-
SAOUHSC_00172	-
SAOUHSC_00173	azoR
SAOUHSC_00174	-
SAOUHSC_00175	malK
SAOUHSC_00176	malE
SAOUHSC_00177	malF
SAOUHSC_00178	-
S56	-
SAOUHSC_00179	-
SAOUHSC_00180	-
SAOUHSC_00181	-
S57	-
SAOUHSC_00182	-
SAOUHSC_00183	uhpT
S58	-
SAOUHSC_00184	hptR
SAOUHSC_00185	hptS
SAOUHSC_00186	hptA
S59	-
SAOUHSC_00187	pflB
SAOUHSC_00188	pflA
SAOUHSC_00189	-
SAOUHSC_00190	-
S60	-
SAOUHSC_00191	-
SAOUHSC_00192	coa
S61	-
S62	-
SAOUHSC_00193	-
SAOUHSC_00194	-
S63	-
SAOUHSC_00195	fadA
SAOUHSC_00196	fadB
S64	-
SAOUHSC_00197	fadD
S65	-
SAOUHSC_00198	fadE
SAOUHSC_00199	fadX
S66	-
SAOUHSC_00200	prsS
SAOUHSC_00201	nikA
S67	-
SAOUHSC_00202	-
S68	-
SAOUHSC_00203	-
SAOUHSC_00204	hmp
SAOUHSC_00205	-
S69	-
SAOUHSC_00206	ldh1
S70	-
SAOUHSC_00208	-
SAOUHSC_00209	glcC
S71	-
S72	-
SAOUHSC_00211	-
SAOUHSC_00212	-
SAOUHSC_00213	-
SAOUHSC_00214	-
SAOUHSC_00215	-
SAOUHSC_00216	-
SAOUHSC_00217	-
SAOUHSC_00218	-
SAOUHSC_00219	-
S73	-
SAOUHSC_00220	tarI'
SAOUHSC_00221	tarJ'
SAOUHSC_A00219	-
S74	-
SAOUHSC_00222	tarL'
S75	-
S76	-
SAOUHSC_00223	tarF
S77	-
S78	-
SAOUHSC_00225	tarI
SAOUHSC_00226	tarJ
SAOUHSC_00227	tarL
SAOUHSC_00228	tarS
SAOUHSC_00229	scdA
SAOUHSC_00230	lytS
SAOUHSC_00231	lytR
SAOUHSC_00232	lrgA
SAOUHSC_00233	lrgB
SAOUHSC_00234	bglR
SAOUHSC_00235	-
SAOUHSC_00236	bglA
S79	-
SAOUHSC_00237	-
SAOUHSC_00238	-
SAOUHSC_00239	rbsK
SAOUHSC_00240	rbsD
SAOUHSC_00241	rbsU
SAOUHSC_00242	rbsR
SAOUHSC_00243	-
SAOUHSC_00244	-
SAOUHSC_00245	-
S80	-
SAOUHSC_00246	-
S81	-
S82	-
SAOUHSC_00247	-
S83	-
SAOUHSC_00248	lytM
SAOUHSC_00249	-
SAOUHSC_00250	-
SAOUHSC_00251	-
SAOUHSC_00253	-
SAOUHSC_00254	-
SAOUHSC_00255	-
SAOUHSC_00256	-
S84	-
SAOUHSC_00257	esxA
SAOUHSC_00258	esaA
SAOUHSC_00259	essA
SAOUHSC_00260	esaB
